Unnamed: 0,subject,participant_id,mean_confidence,sd_confidence,mean_RT,sd_RT,Accuracy,estimated_mean_beta,estimated_mean_lapse,estimated_mean_alpha,estimated_q5_beta,estimated_q5_lapse,estimated_q5_alpha,estimated_q95_beta,estimated_q95_lapse,estimated_q95_alpha
1,1,sub-0263,58.4356398809524,34.4086883111911,0.612810229456434,0.601026403925483,0.803571428571429,-1.965530155775,-9.28197679135,12.2739359165,-2.575319,-14.578525,11.063885,-1.367675,-4.435864,13.47173
2,2,sub-0264,54.6146716101695,35.5725195037479,0.7786602423846,0.440643096551352,0.779661016949153,-1.2069154948625,-5.2627438624,13.600826935,-1.9487735,-10.558435,12.929495,-0.52940735,-1.4931525,14.23682
3,3,sub-0266,57.8573994252874,26.6479089164313,0.481374156034659,0.34752181230491,0.681034482758621,-0.662492236610275,-3.24898472106265,13.740361405,-1.341068,-7.136862,13.26209,-0.0678734650000001,-0.825054500000001,14.3855
4,4,sub-0267,47.4826388888889,38.0954131700223,0.548962997435667,0.424260568288676,0.811965811965812,-1.3998304795,-6.40536737885,12.434150075,-2.0706645,-11.333215,11.74829,-0.83976895,-2.677515,13.111
5,5,sub-0268,64.5225694444444,32.6514630288901,0.434968409167171,0.281358902914769,0.783333333333333,-1.0347148838695,-4.779229699085,13.67263249,-1.591591,-8.756664,13.15699,-0.5453739,-1.944522,14.171105
6,6,sub-0269,68.2356770833333,26.7707478098702,0.942142175000481,0.623584773579046,0.758333333333333,-1.3030925480565,-6.0143254506,11.640131798,-2.181726,-11.456265,10.928595,-0.62975505,-2.220326,12.497505
7,7,sub-0270,62.2938368055556,33.2422184798259,0.731934755000232,0.401293505253174,0.791666666666667,-1.69806804819,-7.89365020785,12.7004208585,-2.3178,-12.918235,11.769965,-1.097798,-3.6496385,13.61142
8,8,sub-0271,29.5430672268908,31.4343538446297,0.928763842017453,0.582052004973808,0.781512605042017,-1.497362456385,-6.521718003,12.60944028,-2.369155,-13.056935,11.70119,-0.53200105,-1.4305875,13.65632
9,9,sub-0272,23.3050847457627,22.5299556373854,1.0949787059324,0.657475282594646,0.576271186440678,-0.140707649486819,2.2376145254985,13.1705783615,-0.8595936,0.83447365,10.87928,0.5465956,5.1306295,15.48291
10,10,sub-0273,61.1805555555556,25.5923406664726,0.576045428332873,0.401501265968184,0.775,-0.8976385299093,-4.309907090625,13.32798288,-1.629858,-8.6448705,12.897695,-0.3065788,-1.585443,13.809005
11,11,sub-0274,49.4444444444444,35.0359824492792,0.620198636667677,0.45903393456985,0.825,-1.65227636278449,-7.52135834775,12.386041177,-2.317751,-12.75846,11.48494,-0.9755923,-2.459372,13.24971
12,12,sub-0276,52.4913194444444,28.5146628647123,0.710127346667529,0.478567008299943,0.808333333333333,-1.01554036218,-4.852711584105,11.4835638925,-1.6103475,-8.8827405,10.9968,-0.5004673,-2.147641,11.989205
13,13,sub-0277,67.0671393557423,29.6642560871912,0.582032831091025,0.34313725806217,0.773109243697479,-1.0599509505362,-3.9338522666995,12.62088052,-2.0980155,-10.904805,11.869385,-0.3571873,-1.07782,13.616345
14,14,sub-0278,82.0115546218487,27.8725056649878,0.71862758739466,0.475709869560067,0.815126050420168,-1.15503240546639,-4.70510649336,11.62097155,-2.689276,-14.62464,10.769,-0.22063535,-1.0138425,13.29124
15,15,sub-0279,72.0811631944444,24.3317500033407,0.659152741666912,0.415783569056625,0.808333333333333,-1.747363710855,-8.0028186035,13.612591563,-2.435966,-13.525905,12.514495,-0.91063495,-1.772344,14.5705
16,16,sub-0280,82.4776785714286,23.4718082732149,0.657058279830258,0.460801419079436,0.798319327731092,-1.614061355146,-7.23967922535,12.817518069,-2.2307255,-12.392245,11.877495,-0.93712345,-2.2635725,13.70241
17,17,sub-0281,59.1710069444444,24.3317801586795,0.636442944999241,0.372832891091566,0.525,0.05005466839946,3.48992525435,13.145151251,-0.7273576,1.419741,10.88429,0.8453422,7.246638,15.44579
18,18,sub-0282,51.1640847578348,39.9462642611928,0.726834331624186,0.65921841010097,0.794871794871795,-1.04721661799755,-4.4079853742515,14.8422154,-1.815085,-9.6146655,14.20479,-0.38396615,-1.119525,15.39881
19,19,sub-0287,67.7452256944444,31.1969469681089,0.81493981499807,0.566021036010935,0.808333333333333,-1.22464448456325,-5.6650279443355,12.8798811245,-1.9207675,-10.474415,12.30939,-0.64915285,-2.359228,13.452605
20,20,sub-0288,60.4516806722689,35.7049879462904,0.886111007562639,0.493020557727285,0.815126050420168,-1.2194566517912,-5.1353114927,10.858988948,-2.527047,-13.854915,9.860163,-0.23176475,-1.074669,12.536325
21,21,sub-0291,55.6770833333333,29.6116276706224,0.593195484999645,0.456281121497995,0.816666666666667,-2.176366160926,-10.4983565579,9.7131899845,-3.4115185,-18.49122,7.772757,-1.036396,-3.1762295,12.72771
22,22,sub-0292,54.0321180555556,38.6088560379452,0.787162219165475,0.302403894012775,0.791666666666667,-1.3676521472706,-6.26923570557,12.2069244025,-1.9582055,-10.886735,11.516805,-0.83874495,-2.7584775,12.903205
23,23,sub-0293,55.5034722222222,16.9544473299809,0.479603807499128,0.298860302668785,0.775,-1.78129041361375,-8.12221718967699,13.2339430205,-2.6275595,-14.43894,12.041375,-0.677519250000001,-1.167248,14.39283
24,24,sub-0294,65.5068277310924,39.9953316861215,0.821202155461872,0.478490454115233,0.823529411764706,-2.76339956425,-13.71614275425,11.6439263465,-3.5402795,-20.177745,9.843284,-2.1202845,-8.0393195,13.6425
25,25,sub-0295,67.4175347222222,19.9116687875668,0.570949980829998,0.287354503936006,0.825,-1.44815531367,-6.414507959055,14.824319679,-2.2877065,-12.388425,13.85439,-0.69364285,-1.570155,15.5392
26,26,sub-0296,40.1302083333333,38.0705548843648,0.848769832502391,0.433383128819096,0.8,-1.27730574529185,-5.5052025038275,15.0852342,-2.0032005,-10.81851,14.203775,-0.5493201,-1.167858,15.7616
27,27,sub-0297,47.6019965277778,26.5077534183861,0.708141785832898,0.461205761200655,0.8,-1.2225683626695,-5.129133656105,12.741257215,-2.0323385,-11.02331,12.08089,-0.527959,-1.6217535,13.4603
28,28,sub-0298,52.140231092437,28.4230138903979,0.696004068073934,0.474877028648206,0.80672268907563,-1.723558247005,-7.97524853065,11.788835617,-2.3876885,-13.267115,10.874995,-1.0921155,-3.132069,12.7331
29,29,sub-0299,73.4461805555556,21.4325091292703,1.13332997666633,0.55878600606194,0.7,-1.49144925075712,-5.91188005736206,14.207284115,-2.6413245,-14.48382,11.03789,-0.20171175,0.41936355,16.42231
30,30,sub-0300,46.7064950980392,33.7578518465233,0.9694276529411,0.636636939328946,0.823529411764706,-2.2982319124,-11.13548143105,12.0581948685,-3.0882285,-17.31864,10.73304,-1.5321685,-5.5305765,13.446405
31,31,sub-0301,55.5164930555556,26.8644526612399,0.887785021668727,0.526988794083724,0.616666666666667,-0.45087913572495,0.238679727352895,13.24802136,-1.241938,-0.8035185,11.37189,0.1561632,1.7228895,15.01421
32,32,sub-0303,76.4333858543417,22.9988743315866,0.427278123657315,0.241430228811889,0.798319327731092,-1.7085099338465,-7.656090947689,12.884962989,-2.608485,-14.46572,11.760995,-0.5344107,-1.056389,14.013425
