Unnamed: 0,subject,participant_id,mean_confidence,sd_confidence,mean_RT,sd_RT,Accuracy,estimated_mean_beta,estimated_mean_lapse,estimated_mean_alpha,estimated_q5_beta,estimated_q5_lapse,estimated_q5_alpha,estimated_q95_beta,estimated_q95_lapse,estimated_q95_alpha
1,1,sub-0263,58.4356398809524,34.4086883111911,0.612810229456434,0.601026403925483,0.803571428571429,-1.9649049795,-6.395529674625,12.2565487025,-2.574567,-9.392388,11.055375,-1.371517,-3.676549,13.490615
2,2,sub-0264,54.6146716101695,35.5725195037479,0.7786602423846,0.440643096551352,0.779661016949153,-1.16142393569275,-3.9339875710875,13.5792867375,-1.954743,-7.102371,12.92438,-0.418212600000001,-1.449655,14.222035
3,3,sub-0266,57.8573994252874,26.6479089164313,0.481374156034659,0.34752181230491,0.681034482758621,-0.559892525609125,-2.522257908175,13.6840210125,-1.2663405,-4.9602975,13.248995,0.043689535,-0.7927127,14.287875
4,4,sub-0267,47.4826388888889,38.0954131700223,0.548962997435667,0.424260568288676,0.811965811965812,-1.41599107215,-4.779393886875,12.40584965,-2.1000665,-7.690588,11.722195,-0.8222316,-2.5116315,13.11435
5,5,sub-0268,64.5225694444444,32.6514630288901,0.434968409167171,0.281358902914769,0.783333333333333,-1.0280837505375,-3.755413120875,13.65007905,-1.6191125,-6.2095465,13.12637,-0.50866045,-1.853477,14.14841
6,6,sub-0269,68.2356770833333,26.7707478098702,0.942142175000481,0.623584773579046,0.758333333333333,-1.29456588771875,-4.477198733125,11.6073294175,-2.177602,-7.6630975,10.893885,-0.59464315,-2.0557765,12.462105
7,7,sub-0270,62.2938368055556,33.2422184798259,0.731934755000232,0.401293505253174,0.791666666666667,-1.7005652105375,-5.598077923875,12.67144936625,-2.317676,-8.427608,11.695475,-1.105111,-3.0849945,13.59752
8,8,sub-0271,29.5430672268908,31.4343538446297,0.928763842017453,0.582052004973808,0.781512605042017,-1.40745958510875,-4.503838059,12.544576755,-2.3313415,-8.3922035,11.67179,-0.428780050000001,-1.4344515,13.5804
9,9,sub-0273,61.1805555555556,25.5923406664726,0.576045428332873,0.401501265968184,0.775,-0.860097291422,-3.35531583885,13.308835175,-1.607391,-6.020569,12.89069,-0.24407295,-1.496213,13.79832
10,10,sub-0274,49.4444444444444,35.0359824492792,0.620198636667677,0.45903393456985,0.825,-1.6293859238875,-5.309221639875,12.33943821375,-2.3016545,-8.48857,11.452325,-0.912452,-2.170738,13.23742
11,11,sub-0276,52.4913194444444,28.5146628647123,0.710127346667529,0.478567008299943,0.808333333333333,-0.99681961718125,-3.783762227625,11.4553082125,-1.6151595,-6.2022185,10.9721,-0.445663850000001,-1.953566,11.967905
12,12,sub-0277,67.0671393557423,29.6642560871912,0.582032831091025,0.34313725806217,0.773109243697479,-0.999011332615331,-3.1235134075475,12.5864228625,-2.010857,-6.9701355,11.916395,-0.26679045,-1.1620175,13.477025
13,13,sub-0278,82.0115546218487,27.8725056649878,0.71862758739466,0.475709869560067,0.815126050420168,-1.00188851644465,-3.228027162,11.56473971625,-2.5743295,-8.9703585,10.807175,-0.10947505,-1.061626,13.18629
14,14,sub-0279,72.0811631944444,24.3317500033407,0.659152741666912,0.415783569056625,0.808333333333333,-1.721136175855,-5.525330927375,13.59944221125,-2.423236,-8.864082,12.497925,-0.78079575,-1.697907,14.59126
15,15,sub-0280,82.4776785714286,23.4718082732149,0.657058279830258,0.460801419079436,0.798319327731092,-1.57955337638,-5.13068492075,12.7763754825,-2.1921315,-8.157012,11.840765,-0.859480400000001,-2.0882,13.68842
16,16,sub-0282,51.1640847578348,39.9462642611928,0.726834331624186,0.65921841010097,0.794871794871795,-0.996612959118625,-3.40050346335,14.8236852875,-1.7979345,-6.638939,14.229085,-0.27514965,-1.154925,15.37421
17,17,sub-0287,67.7452256944444,31.1969469681089,0.81493981499807,0.566021036010935,0.808333333333333,-1.2390404676025,-4.3402683275,12.8595109375,-1.946966,-7.090441,12.280795,-0.637001450000001,-2.247291,13.429705
18,18,sub-0288,60.4516806722689,35.7049879462904,0.886111007562639,0.493020557727285,0.815126050420168,-1.08044684239046,-3.49643983025,10.7457686625,-2.4593945,-8.7039065,9.860623,-0.1450214,-1.1077715,12.401615
19,19,sub-0291,55.6770833333333,29.6116276706224,0.593195484999645,0.456281121497995,0.816666666666667,-2.06199634253875,-6.711560692875,9.46644024,-3.283608,-11.200045,7.646878,-0.814,-2.447061,12.48272
20,20,sub-0292,54.0321180555556,38.6088560379452,0.787162219165475,0.302403894012775,0.791666666666667,-1.377732876,-4.7263313875,12.1864384075,-1.993245,-7.37972,11.46296,-0.83633095,-2.533694,12.93336
21,21,sub-0293,55.5034722222222,16.9544473299809,0.479603807499128,0.298860302668785,0.775,-1.73452673804875,-5.54030811901875,13.19638673625,-2.610458,-9.380689,12.01739,-0.515296800000002,-1.1881385,14.367125
22,22,sub-0294,65.5068277310924,39.9953316861215,0.821202155461872,0.478490454115233,0.823529411764706,-2.741761479375,-8.803807915,11.58381785875,-3.5024915,-12.46293,9.878856,-2.115577,-5.6826235,13.51995
23,23,sub-0295,67.4175347222222,19.9116687875668,0.570949980829998,0.287354503936006,0.825,-1.4337698211125,-4.68138515755,14.8138493625,-2.254145,-8.1269895,13.941035,-0.63223845,-1.721953,15.501415
24,24,sub-0296,40.1302083333333,38.0705548843648,0.848769832502391,0.433383128819096,0.8,-1.225947539268,-4.03642884075,15.068819475,-1.9528285,-7.2165675,14.182895,-0.39774045,-1.166475,15.741935
25,25,sub-0297,47.6019965277778,26.5077534183861,0.708141785832898,0.461205761200655,0.8,-1.17834572742625,-3.899027686,12.699498275,-1.994566,-7.275717,12.070795,-0.487242750000001,-1.61977,13.38391
26,26,sub-0298,52.140231092437,28.4230138903979,0.696004068073934,0.474877028648206,0.80672268907563,-1.73106230825,-5.661826070625,11.775477165,-2.3895935,-8.682905,10.80538,-1.0981475,-2.8689065,12.78902
27,27,sub-0299,73.4461805555556,21.4325091292703,1.13332997666633,0.55878600606194,0.7,-1.58617826094975,-4.7763558599215,14.57607441375,-2.6813605,-9.5754035,11.32198,0.035688265,0.2188718,16.54371
28,28,sub-0300,46.7064950980392,33.7578518465233,0.9694276529411,0.636636939328946,0.823529411764706,-2.27788105865,-7.368430074625,12.022285975,-3.028932,-10.873095,10.710695,-1.531706,-4.2343495,13.389815
29,29,sub-0301,55.5164930555556,26.8644526612399,0.887785021668727,0.526988794083724,0.616666666666667,-0.22462716291525,-0.0588789112971,13.42040377875,-1.432882,-2.438602,11.453455,0.50530615,1.2516385,15.717605
30,30,sub-0303,76.4333858543417,22.9988743315866,0.427278123657315,0.241430228811889,0.798319327731092,-1.65693836955437,-5.2386609846,12.8612125025,-2.567998,-9.1536375,11.79093,-0.42341795,-1.132688,13.964405
31,31,sub-0304,51.85546875,25.9972170218685,0.698734886666898,0.42945138230196,0.65,-0.662172475163025,-1.59483327883062,13.36858128125,-2.251067,-7.758094,11.16251,0.30000095,0.5944938,16.10053
32,32,sub-0306,53.5112847222222,27.580951523867,0.779436493333924,0.421366625034488,0.808333333333333,-1.3873725150125,-4.580130212875,11.1637486175,-2.099984,-7.7655075,10.40443,-0.63710425,-1.845147,12.03173
33,33,sub-0307,69.5783943965517,34.9397537379542,0.494545920688513,0.504779797044181,0.775862068965517,-1.42490624979,-4.712448102,12.953309875,-2.111965,-7.744537,12.185625,-0.77583565,-2.0839445,13.74903
34,34,sub-0309,61.8290960451977,35.703716293392,0.533742970338099,0.380631296067059,0.745762711864407,-0.689464987871538,-1.655200347752,12.0802491425,-2.434667,-7.8580415,10.14928,0.0587888199999994,-0.2376362,14.497805
35,35,sub-0310,55.6640625,20.3036112873097,0.760280100832703,0.495702130006624,0.775,-1.29449232710125,-4.4227096606625,14.6189862,-2.23564,-7.8533075,13.81079,-0.5348441,-1.81284,15.266805
36,36,sub-0311,56.2738715277778,31.7113146862423,0.766687748334759,0.356141624227204,0.841666666666667,-2.6922575800625,-8.63070825575,11.74081907375,-3.3625115,-12.02336,10.0806,-2.1347965,-5.693901,13.510705
37,37,sub-0314,88.3797268907563,29.618249521556,1.06986847731379,0.465006387735923,0.764705882352941,-3.13309006125,-10.0504476925,11.99380496375,-3.8260085,-13.84213,9.649203,-2.4628295,-6.762913,14.414795
38,38,sub-0315,57.8624131944444,25.0980633502687,1.01866070333514,0.548971750554874,0.791666666666667,-1.2342584530625,-4.23375683125,13.4538691375,-1.842868,-6.897153,12.8042,-0.691562400000001,-2.025912,14.0692
39,39,sub-0317,52.2504340277778,18.8423165727311,0.528040074169015,0.413747140143147,0.783333333333333,-0.948139126980625,-3.48507117275,12.4590865,-1.81236,-6.4766165,11.99533,-0.2627513,-1.360598,13.04865
40,40,sub-0318,49.9912464985994,43.6735044691022,0.520187937812547,0.208242585196886,0.815126050420168,-1.03137491448625,-3.10396810875,14.4517757875,-2.1011455,-7.4108015,13.442335,-0.1890685,-0.8969679,15.32862
41,41,sub-0319,65.7563025210084,33.4098476370108,0.946901516805446,0.57395887183948,0.773109243697479,-1.268230034975,-4.395790902,13.7945700125,-1.9012395,-7.0267725,13.130585,-0.66117015,-2.2527265,14.45637
42,42,sub-0320,71.5642507002801,33.4716045835309,0.85137821764694,0.423202480071445,0.815126050420168,-3.16357847,-10.128080735,11.47672917,-3.937475,-14.15889,9.0384145,-2.4233425,-6.666723,13.962785
43,43,sub-0321,53.9587710084034,25.1696465055971,0.823123991594576,0.458598522792964,0.747899159663866,-1.07619333621375,-3.872817232225,13.5166784625,-1.7489065,-6.5244295,12.924165,-0.4714288,-1.81397,14.14032
44,44,sub-0323,65.1019965277778,37.4766575999011,1.10557694583258,0.600399165496881,0.791666666666667,-1.37734269401,-4.38027325294375,13.36490126125,-2.2818475,-8.2964055,12.466205,-0.35146095,-1.2529095,14.397265
45,45,sub-0327,49.2874053030303,20.5270840935264,0.633047076362312,0.472338556056964,0.781818181818182,-1.3255987670125,-4.4675069054375,13.353192275,-2.031558,-7.3461735,12.640065,-0.71059645,-2.1030055,14.0913
46,46,sub-0328,73.828125,31.1164784255563,0.853612461072093,0.55941178962833,0.805084745762712,-1.66840133588625,-5.3506112284125,13.87527295,-2.600896,-9.2171845,12.44609,-0.53433855,-1.2165215,14.851205
47,47,sub-0331,44.3583683473389,23.3933513223783,0.942836278989841,0.682641532889154,0.80672268907563,-1.11227615673875,-3.87176455875,12.1797240375,-1.811725,-6.680003,11.595235,-0.451331150000001,-1.5938595,12.76386
48,48,sub-0332,52.1202256944444,40.9170145744341,0.680320994167414,0.459204523145249,0.725,-2.57918400894125,-8.2246229841425,14.32152066375,-3.3077655,-11.960075,12.629445,-1.8450835,-3.96660400000001,16.014715
49,49,sub-0333,52.6410590277778,31.8558562621952,1.04045021166191,0.456868651089043,0.791666666666667,-1.532263443675,-5.12236634925,12.8311530625,-2.1538215,-7.9417855,12.00587,-0.93648225,-2.7071455,13.64841
50,50,sub-0334,61.0274621212121,41.8035106565936,0.852598740917165,0.604995036213811,0.781818181818182,-1.50043591567288,-4.831322408325,13.64726555,-2.2329325,-8.0197855,12.63448,-0.540301,-1.422252,14.57081
51,51,sub-0335,61.4887152777778,41.8403105428592,0.887664898339426,0.581983449145249,0.791666666666667,-2.00220693723375,-6.4522321789,14.0764739,-2.6813145,-9.6391695,12.782105,-1.3220785,-3.417376,15.2257
52,52,sub-0336,59.4509548611111,38.7105614639375,0.886292667500189,0.493174133097342,0.675,-1.68465317096241,-5.058589158429,13.8088877225,-2.917934,-10.50471,10.317485,0.1287048,0.50824375,16.27371
53,53,sub-0341,59.7941468253968,28.5428129859628,0.5301883142885,0.541276510984766,0.780952380952381,-1.22806530275,-4.190464340625,13.461466925,-2.0054345,-7.3132605,12.81728,-0.53735435,-1.6761195,14.148865
54,54,sub-0342,68.640581232493,18.1524090131712,0.549952062182402,0.400858818180812,0.705882352941177,-2.422367333924,-7.65145741381075,14.26452768625,-3.1996185,-11.607785,11.348315,-0.406105450000003,-0.440574550000004,16.121165
55,55,sub-0343,35.828081232493,35.4094528024676,0.925011813446895,0.427556833991178,0.798319327731092,-1.4235999628625,-4.753174268,12.67917885,-2.152546,-7.753754,11.948875,-0.744907450000001,-2.2381975,13.39624
56,56,sub-0344,55.3330707282913,29.6638503674603,0.544189612611056,0.381680775914872,0.781512605042017,-1.16495915005775,-4.0029150306625,12.3424255,-1.9189215,-7.1024795,11.667265,-0.452123150000001,-1.475752,13.01442
57,57,sub-0345,54.1622899159664,43.9800706166911,1.21834962100841,0.571811602178825,0.798319327731092,-2.65693621447,-8.466911194125,12.6528659975,-3.3639445,-12.10863,10.81654,-2.0231325,-4.50129000000002,14.41318
58,58,sub-0346,63.4037990196078,28.7058953895821,0.76957126302809,0.539480028744695,0.781512605042017,-1.33842326599375,-4.55092205035,12.06252159875,-2.043193,-7.46275,11.39319,-0.6877549,-2.1599395,12.816435
59,59,sub-0348,83.8694852941176,21.5384912763406,0.674977100840691,0.618448609559186,0.789915966386555,-1.82571126325,-5.970952504125,10.97148204875,-2.64357,-9.2467235,9.9385525,-1.111203,-3.1597805,12.385405
60,60,sub-0351,88.6116946778712,20.5481422615851,1.24235907058474,0.651954774660481,0.663865546218487,-0.831732668430437,-2.07737796992225,13.27728898625,-2.718877,-9.1876055,10.042365,0.4184129,1.1069185,16.885425
