Unnamed: 0,subject,participant_id,mean_confidence,sd_confidence,mean_RT,sd_RT,Accuracy,estimated_mean_beta,estimated_mean_lapse,estimated_mean_alpha,estimated_q5_beta,estimated_q5_lapse,estimated_q5_alpha,estimated_q95_beta,estimated_q95_lapse,estimated_q95_alpha
1,1,sub-0263,58.4356398809524,34.4086883111911,0.612810229456434,0.601026403925483,0.803571428571429,1.3145994420875,-5.0317670500625,2.449124280625,0.74253315,-8.5610365,2.333656,1.9006915,-2.22046,2.5534865
2,2,sub-0264,54.6146716101695,35.5725195037479,0.7786602423846,0.440643096551352,0.779661016949153,2.2453015265,-4.38217565385625,2.60486402375,1.6323415,-7.968336,2.547659,2.786633,-1.6728955,2.649802
3,3,sub-0266,57.8573994252874,26.6479089164313,0.481374156034659,0.34752181230491,0.681034482758621,2.7486907600625,-4.38754752151175,2.625302856875,2.1781855,-8.0971555,2.594807,3.3157595,-1.4833815,2.6644
4,4,sub-0267,47.4826388888889,38.0954131700223,0.548962997435667,0.424260568288676,0.811965811965812,1.8551051659875,-4.9115045318125,2.50729581875,1.2676665,-8.4352795,2.438349,2.387405,-2.187149,2.5647305
5,5,sub-0268,64.5225694444444,32.6514630288901,0.434968409167171,0.281358902914769,0.783333333333333,2.4401818053125,-4.78302796075,2.615295809375,1.9355665,-8.118701,2.5772995,2.93039,-2.1271365,2.6498905
6,6,sub-0269,68.2356770833333,26.7707478098702,0.942142175000481,0.623584773579046,0.758333333333333,1.7250876077875,-4.9373032855,2.450054955,1.0140975,-8.50142,2.3731,2.3572145,-2.150732,2.5191935
7,7,sub-0270,62.2938368055556,33.2422184798259,0.731934755000232,0.401293505253174,0.791666666666667,1.6430161006875,-4.940299253125,2.50968368875,1.0643275,-8.4073385,2.416524,2.209695,-2.108341,2.5877145
8,8,sub-0271,29.5430672268908,31.4343538446297,0.928763842017453,0.582052004973808,0.781512605042017,1.7444216812875,-4.35311658121875,2.51413562375,1.1097085,-8.2180565,2.4300795,2.344829,-1.604434,2.586082
9,9,sub-0273,61.1805555555556,25.5923406664726,0.576045428332873,0.401501265968184,0.775,2.4816234255625,-4.6786029311125,2.59105499625,1.859423,-8.278366,2.5559995,3.0664745,-1.939674,2.6240805
10,10,sub-0274,49.4444444444444,35.0359824492792,0.620198636667677,0.45903393456985,0.825,1.6508297888875,-4.7871706381875,2.491116451875,1.0681215,-8.3010355,2.405856,2.17253,-2.001047,2.5621145
11,11,sub-0276,52.4913194444444,28.5146628647123,0.710127346667529,0.478567008299943,0.808333333333333,1.92281918365188,-5.05111651025,2.445091625,1.3048095,-8.6403435,2.3912785,2.4938955,-2.3311945,2.4975905
12,12,sub-0277,67.0671393557423,29.6642560871912,0.582032831091025,0.34313725806217,0.773109243697479,1.9643742264375,-3.5201478450625,2.53167825125,1.3568925,-7.160591,2.4654295,2.5756925,-1.334523,2.59541
13,13,sub-0278,82.0115546218487,27.8725056649878,0.71862758739466,0.475709869560067,0.815126050420168,1.35274296736063,-3.866237523875,2.44208817875,0.6462001,-8.1604455,2.3361495,2.1509505,-1.3004695,2.53992
14,14,sub-0279,72.0811631944444,24.3317500033407,0.659152741666912,0.415783569056625,0.808333333333333,1.778806538025,-4.30878552165625,2.575460884375,1.14558,-8.4847025,2.4648085,2.3831615,-1.358273,2.657553
15,15,sub-0280,82.4776785714286,23.4718082732149,0.657058279830258,0.460801419079436,0.798319327731092,1.7488868500625,-4.632043105125,2.524885738125,1.219088,-8.249671,2.443915,2.2407285,-1.8861825,2.5949805
16,16,sub-0282,51.1640847578348,39.9462642611928,0.726834331624186,0.65921841010097,0.794871794871795,2.6253833724375,-4.04660168315,2.699297981875,2.0534175,-7.982732,2.657069,3.177165,-1.3475255,2.7325905
17,17,sub-0287,67.7452256944444,31.1969469681089,0.81493981499807,0.566021036010935,0.808333333333333,2.0984960285,-4.87967896775,2.548717576875,1.506504,-8.431674,2.4940655,2.6532515,-2.128449,2.5940005
18,18,sub-0288,60.4516806722689,35.7049879462904,0.886111007562639,0.493020557727285,0.815126050420168,1.2666522753375,-4.708799187525,2.4052934575,0.7061584,-8.42521,2.308258,1.80735,-1.861932,2.49309
19,19,sub-0291,55.6770833333333,29.6116276706224,0.593195484999645,0.456281121497995,0.816666666666667,0.554087452403187,-5.585049465,2.27352522125,-0.026234815,-9.274708,2.1574935,1.072054,-2.742765,2.389051
20,20,sub-0292,54.0321180555556,38.6088560379452,0.787162219165475,0.302403894012775,0.791666666666667,1.8413782871875,-5.0003809048125,2.492181255,1.2926735,-8.3255205,2.4252885,2.3527345,-2.3796235,2.5523905
21,21,sub-0293,55.5034722222222,16.9544473299809,0.479603807499128,0.298860302668785,0.775,1.71234574488812,-4.05873170835625,2.543226725,1.078266,-8.2646555,2.444265,2.264838,-1.0256125,2.6171205
22,22,sub-0294,65.5068277310924,39.9953316861215,0.821202155461872,0.478490454115233,0.823529411764706,0.5819783493098,-5.332837755875,2.322906606875,-0.00867012,-9.227314,2.1986695,1.098032,-2.2530475,2.4394805
23,23,sub-0295,67.4175347222222,19.9116687875668,0.570949980829998,0.287354503936006,0.825,2.35062405600062,-4.2256281501275,2.689341940625,1.6193005,-8.3842455,2.593974,2.9541945,-1.2272415,2.7409005
24,24,sub-0296,40.1302083333333,38.0705548843648,0.848769832502391,0.433383128819096,0.8,2.4706582194375,-4.19976875873125,2.71084027625,1.898678,-8.3852365,2.6440995,3.012242,-1.131999,2.75566
25,25,sub-0297,47.6019965277778,26.5077534183861,0.708141785832898,0.461205761200655,0.8,1.96647569000625,-4.3330173465375,2.534760535625,1.375167,-7.984596,2.470557,2.5553765,-1.7974665,2.5903705
26,26,sub-0298,52.140231092437,28.4230138903979,0.696004068073934,0.474877028648206,0.80672268907563,1.46120695643375,-5.0161320830625,2.440429059375,0.9035304,-8.5031815,2.351527,1.9788045,-2.2534975,2.5185215
27,27,sub-0299,73.4461805555556,21.4325091292703,1.13332997666633,0.55878600606194,0.7,1.8094886390875,-0.800976357128625,2.534932476875,0.9619873,-2.588526,2.359228,2.6642755,0.389978949999999,2.6979425
28,28,sub-0300,46.7064950980392,33.7578518465233,0.9694276529411,0.636636939328946,0.823529411764706,0.983389349593563,-5.07348296075,2.4038354075,0.29643925,-8.863098,2.268618,1.6936515,-2.049575,2.518749
