Short_Name,Scales,Similarity,Look up here
exhibitionistic,exhibitionistic,0.511,ipip.ori.org/newHPIKeys.htm
mindfulness,mindfulness,0.505,openpsychometrics.org/_rawdata/
ad involvement -  effort,ad message involvement - processing effort,0.473,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
introversion,introversion2,0.454,ipip.ori.org/newCPIKey.htm
social-confidence,social-confidence,0.417,ipip.ori.org/newJPI-RKey.htm
health orientation - status,health orientation - hs,0.401,www.midss.org/
gregariousness,gregariousness3,0.397,ipip.ori.org/newHPIKeys.htm
depression - hypochondriasis,carroll depression - hypochondriasis,0.397,www.scalesandmeasures.net/scales_view.php?id=132
involvement with reading,involvement with the reading task,0.394,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
sexual objectification - body eval,sexual objectification - body evaluation,0.389,"Kozee, H. B., Tylka, T. L., Augustus-Horvath, C. L., & Denchik, A. (2007). Development and psychometric evaluation of the interpersonal sexual objectification scale.Psychology of Women Quarterly,31(2), 176-189."
organization,organization4,0.386,ipip.ori.org/newAB5CKey.htm
surgency/extraversion ,surgency/extraversion 10 item,0.385,ipip.ori.org/newBigFive5broadKey.htm
mindful attention awareness,mindful attention awareness,0.385,ppc.sas.upenn.edu/resources/questionnaires-researchers
road safety - judgments,road maintenance safety climate - judgments,0.382,www.midss.org/
pay equity perceptions,pay equity perceptions,0.365,"Trevor, Charlie O. (2006), A Contingent View of Reactions to Objective Pay Conditions: Interdependence Among Pay Structure Characteristics and Pay Relative to Internal and External Referents, Journal of Applied Psychology, 91, 1260-1275."
