Short_Name,Scales,Similarity,Look up here
sexual objectification - body eval,sexual objectification - body evaluation,0.481,"Kozee, H. B., Tylka, T. L., Augustus-Horvath, C. L., & Denchik, A. (2007). Development and psychometric evaluation of the interpersonal sexual objectification scale.Psychology of Women Quarterly,31(2), 176-189."
transgender congruence,transgender congruence,0.45,"Kozee, H. B., Tylka, T. L., & Bauerband, L. A. (2012). Measuring transgender individuals<92> comfort with gender identity and appearance: Development and validation of the Transgender Congruence Scale.Psychology of Women Quarterly,36(2), 179-196."
consumer perceived community ,p community informational value,0.45,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
consumer disclosure willingness,disclosure willingness,0.448,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
depression - hypochondriasis,carroll depression - hypochondriasis,0.438,www.scalesandmeasures.net/scales_view.php?id=132
general product usefulness,usefulness (general),0.423,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
disgust - death,disgust - death,0.42,"Haidt, J., McCauley, C., & Rozin, P. (1994). Individual differences in sensitivity to disgust: A scale sampling seven domains of disgust elicitors.Personality and Individual differences,16(5), 701-713."
website responsiveness,website interactivity (responsiveness),0.416,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
adolescent femininity ideology,adolescent femininity ideology,0.405,"Tolman, D. L., & Porche, M. V. (2000). The Adolescent Femininity Ideology Scale: Development and validation of a new measure for girls.Psychology of Women Quarterly,24(4), 365-376."
negative body talk,negative body talk,0.4,"Engeln-Maddox, R., Salk, R. H., & Miller, S. A. (2012). Assessing women<92>s negative commentary on their own bodies: A psychometric investigation of the Negative Body Talk Scale.Psychology of Women Quarterly,36(2), 162-178."
argument strength,argument strength,0.398,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
website attitudes- security,attitude toward the website (security),0.385,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
website responsiveness,website interactivity (responsiveness)2,0.378,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
perceived privacy - company's policy,privacy of information (company's policy),0.37,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
body awareness,body awareness,0.363,www.yorku.ca/rokada/psyctest/
