Short_Name,Scales,Similarity,Look up here
sexual objectification - body eval,sexual objectification - body evaluation,0.566,"Kozee, H. B., Tylka, T. L., Augustus-Horvath, C. L., & Denchik, A. (2007). Development and psychometric evaluation of the interpersonal sexual objectification scale.Psychology of Women Quarterly,31(2), 176-189."
body awareness,body awareness,0.532,www.yorku.ca/rokada/psyctest/
transgender congruence,transgender congruence,0.52,"Kozee, H. B., Tylka, T. L., & Bauerband, L. A. (2012). Measuring transgender individuals<92> comfort with gender identity and appearance: Development and validation of the Transgender Congruence Scale.Psychology of Women Quarterly,36(2), 179-196."
depression - hypochondriasis,carroll depression - hypochondriasis,0.423,www.scalesandmeasures.net/scales_view.php?id=132
health physical functioning,concept of health physical functioning,0.407,"Hwu, Yueh-Juen, Vivien Coates, and Jennifer Boore (2002), The Concept of Health Scale: Developed for Chinese People with Chronic Illness, Nursing Research, 51, 292-301."
depressive mood,tetradimensional depression - depressive mood,0.403,www.scalesandmeasures.net/scales_view.php?id=197
competitive somatic anxiety,competitive state anxiety - somatic anxiety,0.394,www.scalesandmeasures.net/scales_view.php?id=4290
body odor disgust,body odor disgust,0.387,osf.io/zv23j/
adolescent femininity ideology,adolescent femininity ideology,0.369,"Tolman, D. L., & Porche, M. V. (2000). The Adolescent Femininity Ideology Scale: Development and validation of a new measure for girls.Psychology of Women Quarterly,24(4), 365-376."
disgust - death,disgust - death,0.352,"Haidt, J., McCauley, C., & Rozin, P. (1994). Individual differences in sensitivity to disgust: A scale sampling seven domains of disgust elicitors.Personality and Individual differences,16(5), 701-713."
health orientation - status,health orientation - hs,0.348,www.midss.org/
negative body talk,negative body talk,0.342,"Engeln-Maddox, R., Salk, R. H., & Miller, S. A. (2012). Assessing women<92>s negative commentary on their own bodies: A psychometric investigation of the Negative Body Talk Scale.Psychology of Women Quarterly,36(2), 162-178."
sport strategies - relaxation,coping strategies in sport - relaxation,0.34,www.scalesandmeasures.net/scales_view.php?id=4288
disgust - hygiene,disgust - hygiene,0.331,"Haidt, J., McCauley, C., & Rozin, P. (1994). Individual differences in sensitivity to disgust: A scale sampling seven domains of disgust elicitors.Personality and Individual differences,16(5), 701-713."
personal health orientation,health orientation - pho,0.329,www.midss.org/
