Short_Name,Scales,Similarity,Look up here
gender stereotypes masc physical,gender stereotypes masculine physical,0.411,www.midss.org/
parkinsons disease - bodily,parkinsons disease - bodily,0.381,www.scalesandmeasures.net/scales_view.php?id=706
depression dementia - behavior,cornell depression in dementia - behavioral,0.378,www.scalesandmeasures.net/scales_view.php?id=767
quality life - bone marrow transplant ,quality of life - bone marrow transplant - phys,0.372,www.midss.org/
health orientation - motivation,health orientation - mau,0.369,www.midss.org/
quality life breast cancer,quality of life breast cancer,0.357,www.midss.org/
international restless legs severity,international restless legs severity,0.355,www.scalesandmeasures.net/scales_view.php?id=504
girls education - math science expose,math science courses,0.351,"Ethington, Corinna (1988), Womenâs Selection of Quantitative Undergraduate Fields of Study:Direct and Indirect Influences, American Educational Research Journal, 25, 157-175."
quality life ovarian cancer,quality of life ovarian cancer,0.344,www.midss.org/
fibrofatigue,fibrofatigue,0.341,www.scalesandmeasures.net/scales_view.php?id=516
pain catastrophizing,pain catastrophizing,0.336,www.midss.org/
somatic symptom,kellner symptom - somatic,0.331,www.scalesandmeasures.net/scales_view.php?id=175
patient pain,patient pain,0.328,www.midss.org/
experiences caregiving - positive,experiences of caregiving - positive,0.324,www.scalesandmeasures.net/scales_view.php?id=1142
posttraumatic symptom - arousal,posttraumatic symptom - arousal cluster,0.318,www.scalesandmeasures.net/scales_view.php?id=636
