Short_Name,Scales,Similarity,Look up here
postpartum body stress ,postpartum stress negative body changes,0.376,"Hung, Chich-Hsiu (2007), The Hung Postpartum Stress Scale, Journal of Nursing Scholarship, 39, 71-74."
health orientation - status,health orientation - hs,0.375,www.midss.org/
self-compassion - over-identif,sc - over-identification,0.374,"Neff, K. D. (2003). The development and validation of a scale to measure self-compassion.Self and identity,2(3), 223-250."
depressive mood,tetradimensional depression - depressive mood,0.365,www.scalesandmeasures.net/scales_view.php?id=197
somatization,self-report symptom - somatization,0.34,www.scalesandmeasures.net/scales_view.php?id=945
illness/injury sensitivity,illness/injury sensitivity,0.337,www.midss.org/
state worry,penn state worry,0.336,www.midss.org/
somatic symptom,kellner symptom - somatic,0.327,www.scalesandmeasures.net/scales_view.php?id=175
health physical functioning,concept of health physical functioning,0.327,"Hwu, Yueh-Juen, Vivien Coates, and Jennifer Boore (2002), The Concept of Health Scale: Developed for Chinese People with Chronic Illness, Nursing Research, 51, 292-301."
emotion regulation - non-accept,difficulties in emotion regulation - non-acceptance,0.323,"Kknyei, G., Urbn, R., Reinhardt, M., Jzan, A., & Demetrovics, Z. (2014). The difficulties in emotion regulation scale: factor structure in chronic pain patients.Journal of clinical psychology,70(6), 589-600."
gender stereotypes masc physical,gender stereotypes masculine physical,0.322,www.midss.org/
girls education - math science expose,math science courses,0.321,"Ethington, Corinna (1988), Womenâs Selection of Quantitative Undergraduate Fields of Study:Direct and Indirect Influences, American Educational Research Journal, 25, 157-175."
transgender congruence,transgender congruence,0.312,"Kozee, H. B., Tylka, T. L., & Bauerband, L. A. (2012). Measuring transgender individuals<92> comfort with gender identity and appearance: Development and validation of the Transgender Congruence Scale.Psychology of Women Quarterly,36(2), 179-196."
parkinsons disease - bodily,parkinsons disease - bodily,0.309,www.scalesandmeasures.net/scales_view.php?id=706
consumer sympathy,sympathy23,0.309,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
