Short_Name,Scales,Similarity,Look up here
sexual objectification - body eval,sexual objectification - body evaluation,0.604,"Kozee, H. B., Tylka, T. L., Augustus-Horvath, C. L., & Denchik, A. (2007). Development and psychometric evaluation of the interpersonal sexual objectification scale.Psychology of Women Quarterly,31(2), 176-189."
body awareness,body awareness,0.55,www.yorku.ca/rokada/psyctest/
body odor disgust,body odor disgust,0.487,osf.io/zv23j/
transgender congruence,transgender congruence,0.442,"Kozee, H. B., Tylka, T. L., & Bauerband, L. A. (2012). Measuring transgender individuals<92> comfort with gender identity and appearance: Development and validation of the Transgender Congruence Scale.Psychology of Women Quarterly,36(2), 179-196."
mindfulness,mindfulness,0.421,openpsychometrics.org/_rawdata/
health physical functioning,concept of health physical functioning,0.406,"Hwu, Yueh-Juen, Vivien Coates, and Jennifer Boore (2002), The Concept of Health Scale: Developed for Chinese People with Chronic Illness, Nursing Research, 51, 292-301."
depression - hypochondriasis,carroll depression - hypochondriasis,0.4,www.scalesandmeasures.net/scales_view.php?id=132
depressive mood,tetradimensional depression - depressive mood,0.385,www.scalesandmeasures.net/scales_view.php?id=197
competitive somatic anxiety ,competitive state anxiety - somatic anxiety,0.379,www.scalesandmeasures.net/scales_view.php?id=4290
health orientation - status,health orientation - hs,0.373,www.midss.org/
disgust - death,disgust - death,0.365,"Haidt, J., McCauley, C., & Rozin, P. (1994). Individual differences in sensitivity to disgust: A scale sampling seven domains of disgust elicitors.Personality and Individual differences,16(5), 701-713."
sport strategies - relaxation,coping strategies in sport - relaxation,0.354,www.scalesandmeasures.net/scales_view.php?id=4288
personal health orientation ,health orientation - pho,0.344,www.midss.org/
body esteem,body esteem,0.34,www.yorku.ca/rokada/psyctest/
adolescent femininity ideology,adolescent femininity ideology,0.334,"Tolman, D. L., & Porche, M. V. (2000). The Adolescent Femininity Ideology Scale: Development and validation of a new measure for girls.Psychology of Women Quarterly,24(4), 365-376."
