Short_Name,Scales,Similarity,Look up here
body state - freedom,body state (feeling of freedom),0.429,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
sexual objectification - body eval,sexual objectification - body evaluation,0.428,"Kozee, H. B., Tylka, T. L., Augustus-Horvath, C. L., & Denchik, A. (2007). Development and psychometric evaluation of the interpersonal sexual objectification scale.Psychology of Women Quarterly,31(2), 176-189."
body state - confinement,body state (feeling of confinement),0.416,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
health physical functioning,concept of health physical functioning,0.407,"Hwu, Yueh-Juen, Vivien Coates, and Jennifer Boore (2002), The Concept of Health Scale: Developed for Chinese People with Chronic Illness, Nursing Research, 51, 292-301."
transgender congruence,transgender congruence,0.405,"Kozee, H. B., Tylka, T. L., & Bauerband, L. A. (2012). Measuring transgender individuals<92> comfort with gender identity and appearance: Development and validation of the Transgender Congruence Scale.Psychology of Women Quarterly,36(2), 179-196."
competitive somatic anxiety ,competitive state anxiety - somatic anxiety,0.394,www.scalesandmeasures.net/scales_view.php?id=4290
mindfulness,philadelphia mindfulness,0.373,"Cardaciotto, L., Herbert, J. D., Forman, E. M., Moitra, E., & Farrow, V. (2008). The assessment of present-moment awareness and acceptance: The Philadelphia Mindfulness Scale.Assessment,15(2), 204-223."
strain,strain,0.357,www.scalesandmeasures.net/scales_view.php?id=664
sport strategies - relaxation,coping strategies in sport - relaxation,0.348,www.scalesandmeasures.net/scales_view.php?id=4288
body countertransference,body-centred countertransference,0.341,www.midss.org/
somatic symptom ,somatic symptom inventory,0.335,www.scalesandmeasures.net/scales_view.php?id=520
somatization,self-report symptom - somatization,0.334,www.scalesandmeasures.net/scales_view.php?id=945
bodyparts dissatisfaction,bodyparts dissatisfaction,0.334,www.midss.org/
binge eating - arousal,binge eating adjective - arousal,0.332,www.scalesandmeasures.net/scales_view.php?id=1240
body awareness,body awareness,0.329,www.yorku.ca/rokada/psyctest/
