Short_Name,Scales,Similarity,Look up here
sexual objectification - body eval,sexual objectification - body evaluation,0.609,"Kozee, H. B., Tylka, T. L., Augustus-Horvath, C. L., & Denchik, A. (2007). Development and psychometric evaluation of the interpersonal sexual objectification scale.Psychology of Women Quarterly,31(2), 176-189."
depression hypochondriasis,caroll depression - hypochondriasis,0.58,www.scalesandmeasures.net/scales_view.php?id=132
adolescent femininity ideology,adolescent femininity ideology,0.534,"Tolman, D. L., & Porche, M. V. (2000). The Adolescent Femininity Ideology Scale: Development and validation of a new measure for girls.Psychology of Women Quarterly,24(4), 365-376."
disgust - death,disgust - death,0.533,"Haidt, J., McCauley, C., & Rozin, P. (1994). Individual differences in sensitivity to disgust: A scale sampling seven domains of disgust elicitors.Personality and Individual differences,16(5), 701-713."
transgender congruence,transgender congruence,0.529,"Kozee, H. B., Tylka, T. L., & Bauerband, L. A. (2012). Measuring transgender individuals<92> comfort with gender identity and appearance: Development and validation of the Transgender Congruence Scale.Psychology of Women Quarterly,36(2), 179-196."
competitive somatic anxiety,competitive state anxiety - somatic anxiety,0.472,www.scalesandmeasures.net/scales_view.php?id=4290
negative body talk,negative body talk,0.47,"Engeln-Maddox, R., Salk, R. H., & Miller, S. A. (2012). Assessing women<92>s negative commentary on their own bodies: A psychometric investigation of the Negative Body Talk Scale.Psychology of Women Quarterly,36(2), 162-178."
body awareness,body awareness,0.406,www.yorku.ca/rokada/psyctest/
body control,body control,0.403,"McKinley, N. M., & Hyde, J. S. (1996). The objectified body consciousness scale: Development and validation.Psychology of women quarterly,20(2), 181-215."
physical attractiveness,physical attractiveness,0.402,ipip.ori.org/newSingleConstructsKey.htm
somatization,self-report symptom - somatization,0.394,www.scalesandmeasures.net/scales_view.php?id=945
health orientation status,health orientation - hs,0.393,www.midss.org/
health physical functioning,concept of health physical functioning,0.391,"Hwu, Yueh-Juen, Vivien Coates, and Jennifer Boore (2002), The Concept of Health Scale: Developed for Chinese People with Chronic Illness, Nursing Research, 51, 292-301."
self-image - body,self-image (body),0.37,"Bruner, G. C. (2012). Marketing Scales Handbook : A Compilation of Multi-Item Measures for Consumer Behavior & Advertising Research, Volume 6. Fort Worth, Texas: GCBII Productions, LLC"
eating disorders,eating disorders,0.368,ed15 www.psychologytools.com
